frequency_Hz Strouhal SPL_dB_raw p_rms_Pa
1.12656802e+01 3.12023212e-03 4.16239664e+01 2.41117268e-03
1.13922609e+01 3.15529091e-03 3.61309422e+01 1.28108252e-03
1.15188415e+01 3.19034970e-03 3.31107665e+01 9.04832768e-04
1.16454222e+01 3.22540848e-03 3.50862160e+01 1.13590182e-03
1.17720029e+01 3.26046727e-03 3.07463908e+01 6.89206774e-04
1.18985836e+01 3.29552606e-03 3.91048156e+01 1.80414224e-03
1.20251642e+01 3.33058485e-03 4.45084490e+01 3.36087567e-03
1.21517449e+01 3.36564364e-03 3.90004301e+01 1.78259015e-03
1.22783256e+01 3.40070242e-03 3.89527559e+01 1.77283285e-03
1.24049063e+01 3.43576121e-03 4.54529570e+01 3.74694954e-03
1.25314869e+01 3.47082000e-03 4.73514611e+01 4.66233046e-03
1.26580676e+01 3.50587879e-03 4.63483205e+01 4.15380421e-03
1.27846483e+01 3.54093757e-03 3.97586135e+01 1.94518391e-03
1.29112290e+01 3.57599636e-03 4.35729321e+01 3.01770374e-03
1.30378096e+01 3.61105515e-03 3.93229138e+01 1.85001685e-03
1.31643903e+01 3.64611394e-03 4.06823377e+01 2.16345009e-03
1.32909710e+01 3.68117273e-03 4.30475846e+01 2.84059441e-03
1.34175517e+01 3.71623151e-03 4.68484423e+01 4.39999427e-03
1.35441324e+01 3.75129030e-03 4.77232426e+01 4.86622431e-03
1.36707130e+01 3.78634909e-03 4.33307233e+01 2.93471655e-03
1.37972937e+01 3.82140788e-03 4.36864538e+01 3.05740299e-03
1.39238744e+01 3.85646667e-03 3.45074056e+01 1.06267453e-03
1.40504551e+01 3.89152545e-03 4.04680960e+01 2.11074028e-03
1.41770357e+01 3.92658424e-03 3.54969967e+01 1.19091243e-03
1.43036164e+01 3.96164303e-03 3.23927652e+01 8.33044606e-04
1.44301971e+01 3.99670182e-03 3.91243438e+01 1.80820299e-03
1.45567778e+01 4.03176060e-03 4.26751943e+01 2.72138328e-03
1.46833584e+01 4.06681939e-03 4.27217946e+01 2.73602288e-03
1.48099391e+01 4.10187818e-03 3.64318733e+01 1.32624470e-03
1.49365198e+01 4.13693697e-03 3.78019463e+01 1.55284216e-03
1.50631005e+01 4.17199576e-03 4.02764148e+01 2.06467041e-03
1.51896811e+01 4.20705454e-03 4.57515940e+01 3.87801690e-03
1.53162618e+01 4.24211333e-03 4.58348308e+01 3.91535854e-03
1.54428425e+01 4.27717212e-03 4.50521269e+01 3.57796709e-03
1.55694232e+01 4.31223091e-03 3.94122071e+01 1.86913362e-03
1.56960038e+01 4.34728970e-03 3.75392015e+01 1.50657261e-03
1.58225845e+01 4.38234848e-03 4.12049594e+01 2.29761875e-03
1.59491652e+01 4.41740727e-03 3.44721846e+01 1.05837416e-03
1.60757459e+01 4.45246606e-03 4.77798710e+01 4.89805372e-03
1.62023266e+01 4.48752485e-03 5.06456013e+01 6.81255558e-03
1.63289072e+01 4.52258363e-03 4.59695652e+01 3.97656657e-03
1.64554879e+01 4.55764242e-03 3.89956054e+01 1.78160024e-03
1.65820686e+01 4.59270121e-03 2.83962834e+01 5.25828553e-04
1.67086493e+01 4.62776000e-03 3.41764444e+01 1.02294484e-03
1.68352299e+01 4.66281879e-03 3.89836601e+01 1.77915179e-03
1.69618106e+01 4.69787757e-03 2.26196733e+01 2.70404343e-04
1.70883913e+01 4.73293636e-03 3.08495099e+01 6.97437815e-04
1.72149720e+01 4.76799515e-03 3.94806839e+01 1.88392752e-03
1.73415526e+01 4.80305394e-03 4.67654768e+01 4.35816668e-03
1.74681333e+01 4.83811273e-03 4.30209318e+01 2.83189135e-03
1.75947140e+01 4.87317151e-03 3.48649557e+01 1.10733183e-03
1.77212947e+01 4.90823030e-03 4.19914201e+01 2.51536492e-03
1.78478753e+01 4.94328909e-03 4.72780452e+01 4.62308904e-03
1.79744560e+01 4.97834788e-03 4.82173615e+01 5.15107736e-03
1.81010367e+01 5.01340667e-03 4.04508688e+01 2.10655808e-03
1.82276174e+01 5.04846545e-03 3.16735322e+01 7.66843259e-04
1.83541980e+01 5.08352424e-03 4.70119753e+01 4.48361961e-03
1.84807787e+01 5.11858303e-03 4.94345822e+01 5.92596533e-03
1.86073594e+01 5.15364182e-03 4.56769935e+01 3.84485239e-03
1.87339401e+01 5.18870060e-03 3.22165147e+01 8.16311156e-04
1.88605208e+01 5.22375939e-03 3.31906676e+01 9.13194685e-04
1.89871014e+01 5.25881818e-03 4.37871912e+01 3.09306863e-03
1.91136821e+01 5.29387697e-03 4.27524474e+01 2.74569546e-03
1.92402628e+01 5.32893576e-03 4.17802068e+01 2.45493692e-03
1.93668435e+01 5.36399454e-03 3.42178763e+01 1.02783596e-03
1.94934241e+01 5.39905333e-03 3.04046760e+01 6.62618863e-04
1.96200048e+01 5.43411212e-03 2.18499614e+01 2.47473138e-04
1.97465855e+01 5.46917091e-03 3.68228093e+01 1.38730023e-03
1.98731662e+01 5.50422970e-03 4.02879837e+01 2.06742222e-03
1.99997468e+01 5.53928848e-03 4.48374503e+01 3.49061949e-03
2.01263275e+01 5.57434727e-03 3.93903313e+01 1.86443205e-03
2.02529082e+01 5.60940606e-03 4.40760893e+01 3.19767602e-03
2.03794889e+01 5.64446485e-03 4.39307547e+01 3.14461682e-03
2.05060695e+01 5.67952363e-03 4.11969830e+01 2.29550976e-03
2.06326502e+01 5.71458242e-03 4.11111514e+01 2.27293788e-03
2.07592309e+01 5.74964121e-03 4.58043055e+01 3.90162273e-03
2.08858116e+01 5.78470000e-03 4.19835609e+01 2.51308999e-03
2.10123922e+01 5.81975879e-03 3.28056833e+01 8.73603086e-04
2.11389729e+01 5.85481757e-03 4.36807799e+01 3.05540645e-03
2.12655536e+01 5.88987636e-03 3.91390312e+01 1.81126317e-03
2.13921343e+01 5.92493515e-03 4.11821445e+01 2.29159159e-03
2.15187150e+01 5.95999394e-03 4.26993416e+01 2.72895941e-03
2.16452956e+01 5.99505273e-03 3.10328212e+01 7.12313300e-04
2.17718763e+01 6.03011151e-03 2.90578894e+01 5.67445901e-04
2.18984570e+01 6.06517030e-03 3.23780131e+01 8.31630964e-04
2.20250377e+01 6.10022909e-03 2.89023715e+01 5.57376395e-04
2.21516183e+01 6.13528788e-03 3.72114452e+01 1.45078232e-03
2.22781990e+01 6.17034666e-03 3.97149127e+01 1.93542181e-03
2.24047797e+01 6.20540545e-03 3.41787939e+01 1.02322158e-03
2.25313604e+01 6.24046424e-03 4.27861455e+01 2.75636845e-03
2.26579410e+01 6.27552303e-03 4.22443502e+01 2.58968837e-03
2.27845217e+01 6.31058182e-03 4.11070038e+01 2.27185279e-03
2.29111024e+01 6.34564060e-03 3.49406409e+01 1.11702280e-03
2.30376831e+01 6.38069939e-03 4.68344381e+01 4.39290588e-03
2.31642637e+01 6.41575818e-03 4.31561948e+01 2.87633677e-03
2.32908444e+01 6.45081697e-03 4.16271849e+01 2.41206630e-03
2.34174251e+01 6.48587576e-03 2.80682138e+01 5.06338188e-04
2.35440058e+01 6.52093454e-03 4.21717028e+01 2.56811894e-03
2.36705864e+01 6.55599333e-03 4.26244614e+01 2.70553445e-03
2.37971671e+01 6.59105212e-03 2.95955064e+01 6.03677950e-04
2.39237478e+01 6.62611091e-03 3.31807316e+01 9.12150658e-04
2.40503285e+01 6.66116969e-03 3.96002889e+01 1.91004869e-03
2.41769092e+01 6.69622848e-03 4.79627043e+01 5.00224789e-03
2.43034898e+01 6.73128727e-03 4.86722381e+01 5.42802574e-03
2.44300705e+01 6.76634606e-03 3.95279311e+01 1.89420314e-03
2.45566512e+01 6.80140485e-03 3.63000302e+01 1.30626565e-03
