frequency_Hz Strouhal SPL_dB_smoothed
1.49365198e+01 4.13693697e-03 3.92437995e+01
1.50631005e+01 4.17199576e-03 3.92082140e+01
1.51896811e+01 4.20705454e-03 3.92008394e+01
1.53162618e+01 4.24211333e-03 3.91627754e+01
1.54428425e+01 4.27717212e-03 3.91135184e+01
1.55694232e+01 4.31223091e-03 3.91837337e+01
1.56960038e+01 4.34728970e-03 3.91939572e+01
1.58225845e+01 4.38234848e-03 3.92151781e+01
1.59491652e+01 4.41740727e-03 3.92482557e+01
1.60757459e+01 4.45246606e-03 3.91765885e+01
1.62023266e+01 4.48752485e-03 3.91046774e+01
1.63289072e+01 4.52258363e-03 3.90391616e+01
1.64554879e+01 4.55764242e-03 3.89671114e+01
1.65820686e+01 4.59270121e-03 3.89807874e+01
1.67086493e+01 4.62776000e-03 3.89856406e+01
1.68352299e+01 4.66281879e-03 3.89441565e+01
1.69618106e+01 4.69787757e-03 3.88296318e+01
1.70883913e+01 4.73293636e-03 3.87867685e+01
1.72149720e+01 4.76799515e-03 3.86771233e+01
1.73415526e+01 4.80305394e-03 3.87267464e+01
1.74681333e+01 4.83811273e-03 3.87571537e+01
1.75947140e+01 4.87317151e-03 3.88024821e+01
1.77212947e+01 4.90823030e-03 3.89004051e+01
1.78478753e+01 4.94328909e-03 3.89077202e+01
1.79744560e+01 4.97834788e-03 3.88889769e+01
1.81010367e+01 5.01340667e-03 3.88672315e+01
1.82276174e+01 5.04846545e-03 3.88565491e+01
1.83541980e+01 5.08352424e-03 3.88288757e+01
1.84807787e+01 5.11858303e-03 3.88417721e+01
1.86073594e+01 5.15364182e-03 3.88283671e+01
1.87339401e+01 5.18870060e-03 3.88180727e+01
1.88605208e+01 5.22375939e-03 3.87859519e+01
1.89871014e+01 5.25881818e-03 3.87941593e+01
1.91136821e+01 5.29387697e-03 3.87903816e+01
1.92402628e+01 5.32893576e-03 3.87648862e+01
1.93668435e+01 5.36399454e-03 3.87108568e+01
1.94934241e+01 5.39905333e-03 3.86811410e+01
1.96200048e+01 5.43411212e-03 3.86434100e+01
1.97465855e+01 5.46917091e-03 3.86568770e+01
1.98731662e+01 5.50422970e-03 3.86638134e+01
1.99997468e+01 5.53928848e-03 3.86451072e+01
2.01263275e+01 5.57434727e-03 3.85733626e+01
2.02529082e+01 5.60940606e-03 3.86710717e+01
2.03794889e+01 5.64446485e-03 3.86219996e+01
2.05060695e+01 5.67952363e-03 3.85810008e+01
2.06326502e+01 5.71458242e-03 3.85264277e+01
2.07592309e+01 5.74964121e-03 3.85463115e+01
2.08858116e+01 5.78470000e-03 3.85214281e+01
2.10123922e+01 5.81975879e-03 3.85074804e+01
2.11389729e+01 5.85481757e-03 3.85035408e+01
2.12655536e+01 5.88987636e-03 3.85281525e+01
2.13921343e+01 5.92493515e-03 3.84804552e+01
2.15187150e+01 5.95999394e-03 3.84793089e+01
2.16452956e+01 5.99505273e-03 3.86530729e+01
2.17718763e+01 6.03011151e-03 3.86417108e+01
2.18984570e+01 6.06517030e-03 3.86820574e+01
2.20250377e+01 6.10022909e-03 3.86989990e+01
2.21516183e+01 6.13528788e-03 3.87076123e+01
2.22781990e+01 6.17034666e-03 3.86507848e+01
2.24047797e+01 6.20540545e-03 3.86573199e+01
2.25313604e+01 6.24046424e-03 3.86892027e+01
2.26579410e+01 6.27552303e-03 3.86684057e+01
2.27845217e+01 6.31058182e-03 3.86856068e+01
2.29111024e+01 6.34564060e-03 3.86827757e+01
2.30376831e+01 6.38069939e-03 3.86550446e+01
2.31642637e+01 6.41575818e-03 3.86443827e+01
2.32908444e+01 6.45081697e-03 3.86529652e+01
2.34174251e+01 6.48587576e-03 3.86384029e+01
2.35440058e+01 6.52093454e-03 3.86714969e+01
2.36705864e+01 6.55599333e-03 3.86987356e+01
2.37971671e+01 6.59105212e-03 3.88063050e+01
2.39237478e+01 6.62611091e-03 3.88086308e+01
2.40503285e+01 6.66116969e-03 3.88356782e+01
2.41769092e+01 6.69622848e-03 3.88650136e+01
2.43034898e+01 6.73128727e-03 3.88851631e+01
2.44300705e+01 6.76634606e-03 3.89141482e+01
2.45566512e+01 6.80140485e-03 3.89470765e+01
2.46832319e+01 6.83646363e-03 3.89320948e+01
2.48098125e+01 6.87152242e-03 3.89097560e+01
2.49363932e+01 6.90658121e-03 3.89108658e+01
2.50629739e+01 6.94164000e-03 3.88640958e+01
2.51895546e+01 6.97669879e-03 3.87264094e+01
2.53161352e+01 7.01175757e-03 3.86630475e+01
2.54427159e+01 7.04681636e-03 3.86144044e+01
2.55692966e+01 7.08187515e-03 3.86018837e+01
2.56958773e+01 7.11693394e-03 3.86036178e+01
2.58224579e+01 7.15199272e-03 3.86226814e+01
2.59490386e+01 7.18705151e-03 3.86239574e+01
2.60756193e+01 7.22211030e-03 3.86125300e+01
2.62022000e+01 7.25716909e-03 3.86025940e+01
2.63287806e+01 7.29222788e-03 3.85829427e+01
2.64553613e+01 7.32728666e-03 3.85549851e+01
2.65819420e+01 7.36234545e-03 3.85199587e+01
2.67085227e+01 7.39740424e-03 3.85617963e+01
2.68351034e+01 7.43246303e-03 3.85699425e+01
2.69616840e+01 7.46752182e-03 3.85649052e+01
2.70882647e+01 7.50258060e-03 3.85571919e+01
2.72148454e+01 7.53763939e-03 3.85450893e+01
2.73414261e+01 7.57269818e-03 3.85267644e+01
2.74680067e+01 7.60775697e-03 3.85300642e+01
2.75945874e+01 7.64281576e-03 3.85731731e+01
2.77211681e+01 7.67787454e-03 3.86049194e+01
2.78477488e+01 7.71293333e-03 3.86010281e+01
2.79743294e+01 7.74799212e-03 3.85201516e+01
2.81009101e+01 7.78305091e-03 3.84842219e+01
2.82274908e+01 7.81810969e-03 3.84771349e+01
2.83540715e+01 7.85316848e-03 3.84807432e+01
2.84806521e+01 7.88822727e-03 3.84896462e+01
2.86072328e+01 7.92328606e-03 3.84913325e+01
2.87338135e+01 7.95834485e-03 3.85121979e+01
2.88603942e+01 7.99340363e-03 3.84749940e+01
2.89869748e+01 8.02846242e-03 3.83506828e+01
2.91135555e+01 8.06352121e-03 3.83385859e+01
2.92401362e+01 8.09858000e-03 3.83510113e+01
2.93667169e+01 8.13363879e-03 3.83302095e+01
2.94932976e+01 8.16869757e-03 3.83771023e+01
2.96198782e+01 8.20375636e-03 3.83846130e+01
2.97464589e+01 8.23881515e-03 3.84768267e+01
2.98730396e+01 8.27387394e-03 3.85437116e+01
2.99996203e+01 8.30893272e-03 3.84968129e+01
3.01262009e+01 8.34399151e-03 3.84678303e+01
3.02527816e+01 8.37905030e-03 3.84666437e+01
3.03793623e+01 8.41410909e-03 3.85091032e+01
3.05059430e+01 8.44916788e-03 3.85311424e+01
3.06325236e+01 8.48422666e-03 3.85205886e+01
3.07591043e+01 8.51928545e-03 3.84827194e+01
3.08856850e+01 8.55434424e-03 3.84532966e+01
3.10122657e+01 8.58940303e-03 3.84989454e+01
3.11388463e+01 8.62446182e-03 3.84592917e+01
3.12654270e+01 8.65952060e-03 3.83889774e+01
3.13920077e+01 8.69457939e-03 3.83765911e+01
3.15185884e+01 8.72963818e-03 3.84320645e+01
3.16451690e+01 8.76469697e-03 3.84848303e+01
3.17717497e+01 8.79975575e-03 3.84675641e+01
3.18983304e+01 8.83481454e-03 3.84316105e+01
3.20249111e+01 8.86987333e-03 3.84255988e+01
3.21514918e+01 8.90493212e-03 3.84948893e+01
3.22780724e+01 8.93999091e-03 3.85703623e+01
3.24046531e+01 8.97504969e-03 3.86584532e+01
3.25312338e+01 9.01010848e-03 3.87049146e+01
3.26578145e+01 9.04516727e-03 3.87314459e+01
3.27843951e+01 9.08022606e-03 3.87243525e+01
3.29109758e+01 9.11528485e-03 3.87511941e+01
3.30375565e+01 9.15034363e-03 3.87515472e+01
3.31641372e+01 9.18540242e-03 3.87301642e+01
3.32907178e+01 9.22046121e-03 3.86456325e+01
3.34172985e+01 9.25552000e-03 3.86264097e+01
3.35438792e+01 9.29057878e-03 3.85951092e+01
3.36704599e+01 9.32563757e-03 3.85359507e+01
3.37970405e+01 9.36069636e-03 3.85127849e+01
